Code ;Indicateurs;Valeur_A_importer
Produit 2.2.1 : Les communes et OP ont mis en oeuvre les plans d?action FAR;;
PR221.1;Volet FAR int‚gr‚ dans le PCD;
PR221.2;Communes mobilis‚es sur la probl‚matique de la FAR et l'apprentissage des jeunes;21
PR221.3;Taux de demandes des jeunes recens‚s satisfaites;50
PR222 : Les ‚lŠves des ‚coles primaires et secondaires sont sensibilis‚s sur les m‚tiers Agricoles;;
PR222.1a;ElŠves du primaire et du secondaire b‚n‚ficiaires d'un enseignement pratique sur l'agriculture;4000
PR222.1b;Dont jeunes filles;1500
PR223: Un dispositif de FAR de masse de proximit‚ au niveau des communes est op‚rationnel;;
PR223.1a;Jeunes ayant b‚n‚fici‚ de formation de proximit‚ (CMR, Formation courte, apprentissage?);800
PR223.1b;Dont jeunes femmes;260
PR223.2b;Personnes ressources locales (Tuteurs d'apprentis/MER H“te) op‚rationnelles;40
PR223.2a;Dont femme;15
PR224 : L?accŠs … la formation initiale destin‚e aux futurs exploitants agricoles est am‚lior‚;;
PR224.1a;Jeunes qualifi‚s aux m‚tiers d'exploitants agricoles;
PR224.1b;Dont jeunes femmes;
PR224.2a;Enseignants et Formateurs des CEFAR renforc‚s en capacit‚;50
PR224.2b;Dont femmes;15
PR224.3;CEFAR  renforc‚s;2
;;
PR231: Deux ‚tablissements/r‚gion avec 1 de r‚f‚rence sont cr‚‚s et/ou r‚habilit‚s afin de r‚pondre aux exigences de la FAR;;
PR231.1;CEFAR r‚habilit‚s/construits, renforc‚s (EASTA/IST);1
PR231.2a;Enseignants et Formateurs des EASTA/IST ayant renforc‚s leur capacit‚;10
PR231.2b;Dont femmes;3
PR232 : Les comp‚tences des formateurs des CEFAR sont renforc‚es;;
PR232.1;CEFAR priv‚s r‚habilit‚s/construits, renforc‚s;
PR232.2a;Enseignants et Formateurs des CEFAR priv‚s ayant renforc‚s leur capacit‚;20
PR232.2b;Dont femmes;6
PR233: L?accŠs … la formation des techniciens agricoles est facilit‚;;
PR233.1;Lyc‚e agricole construits/r‚habilit‚s, renforc‚s;1
PR233.2a;Enseignants et Formateurs des Lyc‚es agricoles ayant renforc‚s leur capacit‚;5
PR233.2b;Dont femmes;
PR234: Les comp‚tences des prestataires de services, CSA, OP, leaders paysans et ONG sont am‚lior‚s;;
PR233.1a;Jeunes suivant le cursus de formation pour devenir techniciens auprŠs des CEFAR;10
PR233.1b;Dont jeunes femmes;3
PR234.1a;Cadres, Techniciens et Agents de d‚veloppement en activit‚ ayant am‚lior‚s leur capacit‚ en p‚dagogie et dans leur sp‚cialit‚;30
PR234.1b;Dont femmes;5
PR234.2a;Membres OP, leaders paysans  ayant am‚lior‚s leur comp‚tence en management et leadership;40
PR234.2b;Dont femmes;10
;;
PR241 :Les futurs apprenants sont orient‚s sur leur projet professionnel;;
PR241.1a;Personnes ressources form‚s en orientation dont CIP;8
PR241.1b;Dont femmes;3
PR241.2a;Jeunes apprenants orient‚s sur leur PP;800
PR241.2b;Dont jeunes femmes;260
PR242 : Les PP des jeunes sont suivis et accompagn‚s par des tuteurs;;
PR242.1a;Tuteurs d'accompagnement assurant leur r“le;50
PR242.1b;Dont femmes;15
PR242.2;Projets professionnels suivis et accompagn‚s par les tuteurs;100
PR242.3a;Jeunes porteurs de projets suivis et accompagn‚s par les tuteurs;100
PR242.3b;Dont femme;30
PR243 : Les paysans formateurs/animateurs sont motiv‚s;;
PR243.1a;Paysans formateurs/animateurs appuy‚s ;50
PR243.1b;dont femmes;15
PR244 : L?accŠs au financement des Projets Professionnels d?Insertion et d?Installation (PPII) des jeunes est facilit‚;;
PR244.1;Projets professionnels agricoles financ‚s et suivis;50
PR244.2;Projets professionnels financ‚s et suivis;50
PR244.3a;Jeunes porteurs de projets  financ‚s et suivis;100
PR244.3b;Dont jeunes femmes;30
;;
;;
PR311 : Les bonnes pratiques agricoles performantes sont acquises;;
PR311.1a;EAF ayant b‚n‚fici‚ de renforcement de comp‚tence (CEP, formations sp‚cialis‚es et compl‚mentaires, voyages d'‚changes);600
PR311.1b;Dont  femmes;180
PR312 : Le capital productif des EAF est accru;;
PR312.1a;EAF b‚n‚ficiaires des PCP;100
PR312.1b;Dont femme;60
PR312.2a;EAF b‚n‚ficiaires des PPP;50
PR312.2b;Dont femme;18
PR313 : L?accŠs aux services agricoles indispensables est am‚lior‚;;
PR313.1a;Paysans multiplicateurs de semences/p‚pini‚ristes/Eleveurs-naisseurs  ayant am‚lior‚s leur comp‚tence ;10
PR313.1b;Dont femmes;2
PR313.3a;ACSA et Vaccinateurs villageois ayant am‚lior‚s leur comp‚tence;10
PR313.3b;Dont femmes;0
PR313.4a;Artisans fabricants de mat‚riel ayant am‚lior‚s leur comp‚tence;10
PR313.4b;Dont femmes;0
;;
PR321 : Des partenariats commerciaux gagnant-gagnant sont ‚tablis;;
PR321.1a;Jeunes et EAF b‚n‚ficiaires de march‚s avec les op‚rateurs de march‚ ;50
PR321.1b;Dont femmes;15
PR322a : L?accŠs … des services financiers adapt‚s aux besoins des EAF et MER est am‚lior‚;;
PR322a.1a;Jeunes et EAF b‚n‚ficiaires de services financiers adapt‚s (FIR, FAPEX, FAI, FCM et FAE);250
PR322a.1b;Dont femmes;75
PR322b: Les services publics connexes n‚cessaires au financement sont soutenus;;
PR322b.1a;Jeunes et EAF ayant obtenus leur CIN;
PR322b.1b;Dont femmes;
PR322b.2a;Jeunes et EAF ayant obtenus leur certificats fonciers;
PR322b.1a;Dont femmes;
;;
PR331 : La superficie des p‚rimŠtres irrigu‚s avec maitrise d?eau est augment‚e;;
PR331.1;PPI am‚nag‚s/r‚habilit‚s;
PR331.2;Dont nouveaux p‚rimŠtres am‚nag‚s;
PR331.3;Zones de d‚crues am‚nag‚es;
PR331.4a;Jeunes et EAF attributaires des parcelles am‚nag‚es;
PR331.4b;dont femmes;
PR332 : Les initiatives pour valoriser la production sont d‚velopp‚es;;
PR332.1;Infrastructures de production et de commercialisation construite/r‚habilit‚e;
PR333: Les zones de production sont d‚senclav‚es;;
PR333.1;Longueur de pistes rehabilit‚es;
PR333.2;Ouvrages de franchissement construits;
PR334: L?accŠs aux infrastructures communautaires d?‚levage est am‚lior‚;;
PR334.1;Infrastructures communautaires d?‚levage construites / r‚habilit‚es ;
